"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"25201","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","250101","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","2181602.42","2174545.39","7057.03"
"25202","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA","250201","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA - AGEVISA","3260300.18","2873570.42","386729.76"
"26101","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","225619704.90","223474497.87","2145207.03"
"26102","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","SUPERINTENDENCIA GERAL DE POLICIA CIVIL","1658338.19","1658338.19","0.00"
"26102","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SUPERINTENDENCIA GERAL DE POLICIA CIVIL","981747.08","981747.08","0.00"
"26201","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","270001","DEPARTAMENTO ESTADUAL DE TRANSITO DO ESTADO DA PARAIBA","256161.22","256161.22","0.00"
"26201","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","DEPARTAMENTO ESTADUAL DE TRANSITO DO ESTADO DA PARAIBA","9768840.23","4924704.12","4844136.11"
"26201","DEPARTAMENTO ESTADUAL DE TRANSITO","260101","DEPARTAMENTO ESTADUAL DE TRANSITO DO ESTADO DA PARAIBA","117423444.92","116327758.76","1095686.16"
"26201","ENCARGOS GERAIS DO ESTADO - SUP SEC ADMINISTRACAO","300001","DEPARTAMENTO ESTADUAL DE TRANSITO DO ESTADO DA PARAIBA","8437509.70","8437509.70","0.00"
"26901","FUNDO ESPECIAL DA SEGURANCA PUBLICA","460001","FUNDO ESPECIAL DE SEGURANCA PUBLICA","3069458.30","2191603.30","877855.00"
"27101","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","270001","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","110842423.21","94190367.01","16652056.20"
"27101","COMPANHIA ESTADUAL DE HABITACAO POPULAR","270401","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","3868038.35","3859068.78","8969.57"
"27201","FUND DESENV CRIANCA E ADOLESCENTE ALICE ALMEIDA","270101","FUNDACAO DESENV DA CRIANCA E DO ADOLES ALICE DE ALMEIDA","33444671.43","32153039.03","1291632.40"
"27202","FUNDACAO DE ACAO COMUNITARIA","270201","FUNDACAO DE ACAO COMUNITARIA","52936690.38","52936690.38","0.00"
"27203","LOTERIA DO ESTADO DA PARAIBA","270301","LOTERIA DO ESTADO DA PARAIBA","725624.69","717350.14","8274.55"
"27204","COMPANHIA ESTADUAL DE HABITACAO POPULAR","270401","COMPANHIA ESTADUAL DE HABITACAO POPULAR","57394565.45","57095721.66","298843.79"
"27901","FUNDO ESTADUAL DA CRIANCA E DO ADOLESCENTE","480001","FUNDO ESTADUAL DA CRIANCA E DO ADOLESCENTE","721853.94","721853.94","0.00"
"27902","FUNDO ESTADUAL DE ASSISTENCIA SOCIAL","500001","FUNDO ESTADUAL DE ASSISTENCIA SOCIAL","8360995.76","7530455.51","830540.25"
"27903","FUNDO ESTADUAL DE HAB E REG FUNDIARIA DE INTER SOCIAL","710001","FUNDO ESTADUAL DE HAB E REGUL FUNDIARIA DE INTER SOCIAL","464564.08","464564.08","0.00"
"28101","SEC DE EST DO MEIO AMB DOS REC HID DA CIEN E TECNOLOGIA","280001","SEC DE EST DOS REC HID MEIO AMB E DA CIENCIA E TECNOLOG","262310779.05","259481545.56","2829233.49"
"28201","SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE","280101","SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE","13688820.06","12770614.88","918205.18"
"28204","FUNDACAO DE APOIO A PESQUISA DO ESTADO DA PB - FAPESQ","280401","FUNDACAO DE APOIO A PESQUISA DO ESTADO DA PARAIBA","8320274.02","7780462.97","539811.05"
"28205","AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB","280501","AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB","2632406.89","2555676.17","76730.72"
"28901","FUNDO ESTADUAL DE PROTECAO AO MEIO AMBIENTE","590001","FUNDO ESTADUAL DE PROTECAO AO MEIO AMBIENTE","840925.54","695889.79","145035.75"
"28902","FUNDO ESTADUAL DE RECURSOS HIDRICOS","610001","FUNDO ESTADUAL DE RECURSOS HIDRICOS","111580.90","108590.90","2990.00"
"2901","FUNDO DE FISCALIZACAO ORCAMENTARIA E FINANC MUNICIPAL","630001","FUNDO DE FISCALIZACAO ORCAMENTARIA E FINANCEIRA MUNICIP","309105.10","67805.10","241300.00"
"29101","SECRETARIA DE ESTADO DA COMUNICACAO INSTITUCIONAL","290001","SECRETARIA DE ESTADO DA COMUNICACAO INSTITUCIONAL","40735699.97","40688245.21","47454.76"
"29202","A UNIAO - SUP. DE IMPRENSA E EDITORA","290201","A UNIAO SUPERINTENDENCIA DE IMPRENSA E EDITORA","11111024.34","8536479.65","2574544.69"
"29203","RADIO TABAJARA - SUPERINTENDENCIA DE RADIODIFUSAO","290301","RADIO TABAJARA - SUPERINTENDENCIA DE RADIODIFUSAO","2405687.86","2366928.03","38759.83"
"30101","ENCARGOS GERAIS DO ESTADO - SUP SEC ADMINISTRACAO","300001","RECURSOS SOB SUP DA SEC DE ESTADO DA ADMINISTRACAO","175224441.19","151655295.77","23569145.42"
"30102","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","RECURSOS SOB SUPERVISAO DA SEC DE ESTADO DAS FINANCAS","963049.46","963049.46","0.00"
"30102","ENCARGOS GERAIS DO ESTADO - SUP FINANCAS","300002","RECURSOS SOB SUPERVISAO DA SEC DE ESTADO DAS FINANCAS","454663451.93","453805107.17","858344.76"
"30102","SECRETARIA DE ESTADO DA SAUDE","250001","RECURSOS SOB SUPERVISAO DA SEC DE ESTADO DAS FINANCAS","1986377.76","1915871.89","70505.87"
"32101","SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO","320001","SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO","19497996.92","19414963.37","83033.55"
"32102","SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO","320001","SUBSECRETARIA DO ORCAMENTO DEMOCRATICO","845107.32","845107.32","0.00"
"32201","IDEME - INST DE DESENV MUNICIPAL E ESTADUAL","320101","INSTITUTO DE DESENVOLVIMENTO MUNICIPAL E ESTADUAL","442626.23","442626.23","0.00"
"32901","FUNDO DE COMBATE E ERRADICACAO DA POBREZA NO ESTADO PB","670001","FUND DE COMBATE E ERRADICAÇÃO DA POBR NO EST DA PARAÍBA","17668582.61","16806379.83","862202.78"
"32902","FUNDO DE DESENVOLVIMENTO DO ESTADO DA PARAIBA","750001","FUNDO DE DESENVOLVIMENTO DO ESTADO DA PARAIBA","1732986.85","1460904.20","272082.65"
"33101","PROJETO COOPERAR DO ESTADO DA PARAIBA","330001","PROJETO COOPERAR","5469410.43","5110337.09","359073.34"
"34101","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","SECRETARIA DE ESTADO DA INFRAESTRUTURA","42834793.48","42678841.48","155952.00"
"34102","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","COORDENADORIA ESTADUAL DE DEFESA CIVIL DA PARAIBA","27425169.12","27181117.73","244051.39"
"34103","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","SECRETARIA EXECUTIVA DE OBRAS DO PAC","65959837.46","65529018.27","430819.19"
"34201","DEPARTAMENTO DE ESTRADAS E RODAGEM","340101","DEPARTAMENTO DE ESTRADAS DE RODAGEM","354835893.73","353022375.74","1813517.99"
"34202","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SUPERINTENDENCIA DE OBRAS DO PLANO DE DESENV DO ESTADO","200756362.28","200082068.36","674293.92"
"34203","COMPANHIA DOCAS DA PARAIBA","340301","COMPANHIA DOCAS DA PARAIBA","13497372.02","12467472.33","1029899.69"
"34206","COMPANHIA DE AGUA E ESGOTOS DO ESTADO DA PARAIBA","340601","COMPANHIA DE AGUA E ESGOTOS DO ESTADO DA PARAIBA CAGEPA","30691829.21","28123423.84","2568405.37"
"35101","SEC DE ESTADO DO DESENV DA AGROPECUARIA E DA PESCA","350001","SECRETARIA DE EST DO DESENV DA AGROPECUARIA E DA PESCA","32395326.94","32057271.81","338055.13"
"35201","EMATER - EMP. DE ASSISTENCIA TECNICA E EXTENCAO RURAL","350101","EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DA PB","106317240.93","104238559.93","2078681.00"
"35202","EMEPA - EMP. ESTADUAL DE PESQUISA AGRO. DA PARAIBA","350201","EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DA PARAIBA","20056205.76","19454735.92","601469.84"
"35203","INTERPA - INS. DE TERRAS E PLAN. AGRI. EST. DA PARAIBA","350301","INSTITUTO DE TERRAS E PLANEJ AGRIC DO EST DA PARAIBA","9617444.43","9516109.59","101334.84"
"35204","EMPASA - EMP. PARAIBANA DE ABAST. E SERV. AGRICOLAS","350401","EMPRESA PARAIBANA DE ABASTECIMENTO E SERV AGRICOLAS PB","30294507.27","29434743.18","859764.09"
"35901","FUNDO DE DESENVOLVIMENTO AGROPECUARIO DO ESTADO DA PB","680001","FUNDO DE DESENV AGROPECUARIO DO ESTADO DA PARAíBA","32643818.98","25143520.34","7500298.64"
"36101","SECRETARIA DE ESTADO DA CULTURA","360001","SECRETARIA DE ESTADO DA CULTURA","4861022.98","4798741.19","62281.79"
"36101","SECRETARIA DE ESTADO DA EDUCACAO","220001","SECRETARIA DE ESTADO DA CULTURA","1305511.11","1305511.11","0.00"
"36201","FUNDACAO ESPACO CULTURAL DA PARAIBA","360101","FUNDACAO ESPACO CULTURAL DO ESTADO DA PARAIBA","6291322.40","6127153.30","164169.10"
"36203","FUNDACAO CASA DE JOSE AMERICO","360301","FUNDACAO CASA DE JOSE AMERICO","777533.06","765436.26","12096.80"
"36206","FUNDACAO ERNANI SATYRO","360601","FUNDACAO ERNANI SATYRO","498072.70","492695.93","5376.77"
"36209","INST. DE PATRIMONIO HISTORICO E ART. DO EST. DA PARAIBA","360901","INSTIT DO PATRIMONIO HIST E ARTIST DO EST DA PARAIBA","118542.48","118542.48","0.00"
"36902","FUNDO DE INCENTIVO A CULTURA AUGUSTO DOS ANJOS","760001","FUNDO DE INCENTIVO A CULTURA AUGUSTO DOS ANJOS","48271.96","39572.24","8699.72"
"5101","JUSTICA COMUM","50001","JUSTICA COMUM","466747882.47","465558736.53","1189145.94"
"5102","JUSTICA COMUM","50001","ENCARGOS JUDICIARIOS","128726093.80","128660933.80","65160.00"
"5901","FUNDO ESPECIAL DO PODER JUDICIARIO","530001","FUNDO ESPECIAL DO PODER JUDICIARIO","30047327.96","28712183.48","1335144.48"
"5901","JUSTICA COMUM","50001","FUNDO ESPECIAL DO PODER JUDICIARIO","40821094.53","40821094.53","0.00"
"6101","MINISTERIO PUBLICO","60001","MINISTERIO PUBLICO","194833415.76","188749365.24","6084050.52"
"6902","FUNDO ESPECIAL DO MINISTERIO PUBLICO","800001","FUNDO ESPECIAL DO MINISTERIO PUBLICO","3438337.32","2371501.36","1066835.96"
"7101","SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER","70001","SECRETARIA DE ESTADO DA JUVENTUDE ESPORTE E LAZER","7793629.75","7768644.33","24985.42"
"7901","FUNDO DE APOIO AO ESPORTE E LAZER DO ESTADO DA PARAIBA","780001","FUNDO DE APOIO AO ESPORTE E LAZER DP ESTADO DA PARAIBA","116536.75","116536.75","0.00"
"9101","CASA CIVIL DO GOVERNADOR","90001","CASA CIVIL DO GOVERNADOR","19580917.93","19396404.22","184513.71"
"9102","GABINETE VICE GOVERNADOR","90002","GABINETE DO VICE-GOVERNADOR","2065647.95","2045294.28","20353.67"
"9103","CASA MILITAR","90003","CASA MILITAR","16631462.80","16188132.81","443329.99"
"9104","ESCRITORIO DE REP. INSTITUCIONAL DO ESTADO DA PARAIBA","90004","ESCRITORIO DE REP. INSTITUCIONAL DO ESTADO DA PARAIBA","625840.16","624850.16","990.00"
"9201","PARAIBA PREVIDENCIA - PBPREV","90101","PARAIBA PREVIDENCIA - PBPREV","1613187711.33","1613036923.66","150787.67"
"9202","AGENCIA DE REGULACAO DO ESTADO DA PARAIBA","90201","AGENCIA DE REGULACAO DO ESTADO DA PARAIBA","2057174.34","1998078.83","59095.51"
"9203","PROTECAO E DEFESA DO CONSUMIDOR DO ESTADO DA PARAIBA","90301","PROTECAO E DEFESA DO CONSUMIDOR DO ESTADO DA PARAIBA","378682.42","378682.42","0.00"
"9901","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","810001","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","3500.00","3500.00","0.00"
