"Exercicio","Mes","Orgao","Cargo","Quantidade","Regime","Ativo"
"2013","1","PBPREV - INATIVO","2. SARGENTO","22","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","2. TENENTE","3","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","3. SARGENTO","8","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","CABO","6","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","CAPITAO","1","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","SOLDADO ENGAJADO","1","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","SUB TENENTE","1","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE ADM. AUXILIAR","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE ADMINISTRATIVO","4","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE SEGURANCA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ASSISTENTE DE ADMINISTRACAO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ADMINISTRACAO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","MOTORISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TECNICO DE NIVEL MEDIO","4","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ADMINISTRACAO","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","32","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ESCRIVAO DE POLICIA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","SERVENTE PORTEIRO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","SERVENTE","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TRATORISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE SAUDE","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ASSISTENTE SOCIAL","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ATENDENTE","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ENFERMAGEM","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE LABORATORIO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","BIOQUIMICO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","CIRURGIAO DENTISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","MEDICO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE SEGUR. PENITENCIARIO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUDITOR FISCAL TRIBUTARIO EST.","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PEDAGOGO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","70","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 2","12","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 3","26","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","REGENTE DE ENSINO","9","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE TELECOMUNIC POLICIAL","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ESCRIVAO DE POLICIA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","1. SARGENTO","2","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","2. SARGENTO","6","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","3. SARGENTO","2","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","CABO","8","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","SOLDADO ENGAJADO","2","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","SUB TENENTE","1","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE ADMINISTRATIVO","4","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE SERVICOS GERAIS","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ADMINISTRACAO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","10","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ESCRITURARIO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","MOTORISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TECNICO DE NIVEL MEDIO","5","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","VIGILANTE","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","1","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","ADMINISTRADOR","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ADMINISTRACAO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","52","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","INSPETOR DE ALUNOS","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","SERVENTE","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","7","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","MOTORISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","SERVENTE PORTEIRO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE SAUDE","7","ESTATUTARIO INATIVO","Inativos"
