"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"22109","SECRETARIA DE ESTADO DA EDUCACAO","220001","COORDENADORIA DA EDUCACAO PROFISSIONAL","67025.00","65625.00","1400.00"
"22110","SECRETARIA DE ESTADO DA EDUCACAO","220001","SUBSECRETARIA DE EDUCACAO","140685.60","138585.60","2100.00"
"22204","UNIVERSIDADE ESTADUAL DA PARAIBA","220401","UNIVERSIDADE ESTADUAL DA PARAIBA - UEPB","248901164.68","227589647.20","21311517.48"
"22205","FUNDACAO CASA DO ESTUDANTE DA PARAIBA","220501","FUNDACAO CASA DO ESTUDANTE DA PARAIBA","213338.79","211368.83","1969.96"
"22208","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","FUNDACAO CENTRO INTEG DE APOIO AO PORTADOR DE DEF FUNAD","94363.86","94363.86","0.00"
"22208","FUNDACAO CENTRO INTEGR. DE APOIO AO POR. DE DEFICIENCIA","220801","FUNDACAO CENTRO INTEG DE APOIO AO PORTADOR DE DEF FUNAD","6032199.82","5735302.87","296896.95"
"23101","CORPO DE BOMBEIROS MILITAR","230001","CORPO DE BOMBEIROS MILITAR","63165016.91","63018208.11","146808.80"
"23901","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","570001","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","5591700.13","4233301.11","1358399.02"
"24101","SECRETARIA DE ESTADO DA ADMINISTRACAO PENITENCIARIA","240001","GABINETE DO SECRETARIO","96962005.28","88991787.47","7970217.81"
"25101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","GABINETE DO SECRETARIO / FESEP","11740247.80","11740247.80","0.00"
"25101","SECRETARIA DE ESTADO DA SAUDE","250001","GABINETE DO SECRETARIO / FESEP","892771530.53","832551407.66","60220122.87"
